rank,source_file,source_group,row_number,run_id,scenario,scene_type,query,total_ms,total_basis,visible_first_mask_ms,dominant_stage,cause_hint,batch_size,requested_text_count,backend_request_count,backend_request_duration_max_ms,backend_internal_model_max_ms,candidate_collect_ms,parser_ms,backend_ms,mask_apply_ms,post_backend_ms
1,android-e2e-samples.csv,android-pipeline-benchmark,2,mac-android-smoke-20260606T1735KST,pipeline-01-02-03-04-05,,pipeline-01-02-03-04-05,2253.0,total_to_mask_ms,,candidate,candidate/node collection dominated,14,,,1559,,2253.0,,389.0,111.0,388.0
2,chungmaru-latency-samples.csv,extension-lastStats,1933,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,2161.0,total_to_mask_ms,,backend,backend multi-request accumulation,16,10,5,736.0,730.286,1.0,,2158.0,,
3,chungmaru-latency-samples.csv,chrome-quick-qa,1225,chrome-quick-qa-moderation-speed-20260607T125700,speed-hate-age-slur,,틀딱들은 버스에서 내려라,903.0,total_to_mask_ms,903.0,backend,backend round-trip spike,1,1,1,,,397.0,1.0,482.0,0.0,0.0
4,chungmaru-latency-samples.csv,extension-lastStats,1932,chrome-10k-fixture-20260607T2314,bypass,,http://127.0.0.1:8877/,830.0,total_to_mask_ms,,backend,backend multi-request accumulation,8,5,2,592.0,251.037,1.0,,828.0,,
5,chungmaru-latency-samples.csv,chrome-quick-qa,1221,chrome-quick-qa-moderation-speed-20260607T125700,core-profanity-direct,,병신아 꺼져,808.0,total_to_mask_ms,0.0,pre_backend,pre-backend candidate preparation,2,2,2,,,366.0,38.0,384.0,0.0,0.0
6,chungmaru-latency-samples.csv,chrome-quick-qa,1034,chrome-quick-qa-offscreen-settings-20260606T2215,sensitivity-60,,차별금지법 기사,722.0,total_to_mask_ms,,backend,backend multi-request accumulation,2,2,2,,,,,424.0,,
7,chungmaru-latency-samples.csv,chrome-quick-qa,1116,chrome-quick-qa-local-preflight-20260606T2320,sensitivity-60,,출장 일정 안내,720.0,total_to_mask_ms,,backend,backend multi-request accumulation,2,2,2,,,46.0,5.0,655.0,0.0,0.0
8,chungmaru-latency-samples.csv,chrome-quick-qa,1014,chrome-quick-qa-settings-20260606T2145,sensitivity-60,,차별금지법 기사,578.0,total_to_mask_ms,,backend,backend multi-request accumulation,2,2,2,,,,,258.0,,
9,chrome-demo-latency.csv,chrome-demo:google-search,2,chrome-google-demo-20260606T202222,,google-search,ㅅ ㅂ 뜻,504.0,total_to_mask_ms,,backend,backend round-trip spike,,,,,,88.0,2.0,402.0,0.0,0.0
10,chungmaru-latency-samples.csv,extension-lastStats,1610,chrome-10k-fixture-20260607T2314,mixed,,http://127.0.0.1:8877/,484.0,total_to_mask_ms,,backend,backend multi-request accumulation,4,5,2,380.0,96.836,1.0,,481.0,,
