run_id,row_sample_id,measured_at,scenario,batch_size,total_candidate_count,foreground_candidate_count,analysis_unit_count,requested_text_count,backend_request_count,row_total_to_mask_ms,backend_roundtrip_ms,backend_internal_avg_ms,backend_model_avg_ms,candidate_collect_ms,parser_ms,pre_backend_ms,local_preflight_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,first_mask_ms,amortized_total_ms_per_requested_text,latency_bucket,dominant_stage,dominant_stage_ms,worst_rank,is_absolute_worst,is_extreme_outlier,is_outlier_excluded_worst,is_recurring_slow_bucket,is_fast_or_cache_path,user_visible_latency_basis,throughput_note,raw_notes
chrome-10k-fixture-20260607T2314,1,2026-06-07T23:13:02+09:00,mixed,4,10,8,8,5,2,484,481,94.76,94.574,1,,2,2,,,,,96.8,slow<=500ms,backend_roundtrip_ms,481.0,3,no,no,no,yes,no,total_to_mask_ms,5 requested texts in row; amortized=96.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,2,2026-06-07T23:13:03+09:00,mixed,8,17,8,8,5,2,92,91,57.898,57.727,1,,1,,,,,,18.4,normal<=100ms,backend_roundtrip_ms,91.0,1570,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=18.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,3,2026-06-07T23:13:03+09:00,mixed,16,19,8,8,5,2,67,65,54.842,54.694,1,,1,,,,,,13.4,normal<=100ms,backend_roundtrip_ms,65.0,5002,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=13.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,4,2026-06-07T23:13:03+09:00,search-result,4,10,8,8,5,1,82,75,56.177,55.942,,,1,6,,,,6,16.4,normal<=100ms,backend_roundtrip_ms,75.0,2260,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=16.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,5,2026-06-07T23:13:04+09:00,search-result,8,18,8,8,8,2,137,135,16.27,15.996,1,,1,,,,,2,17.12,noticeable<=250ms,backend_roundtrip_ms,135.0,969,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=17.12ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,6,2026-06-07T23:13:04+09:00,search-result,16,20,8,8,8,2,63,62,7.039,6.696,1,,1,,,,,2,7.88,normal<=100ms,backend_roundtrip_ms,62.0,5810,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=7.88ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,7,2026-06-07T23:13:04+09:00,profanity,4,10,8,8,5,1,71,69,55.46,55.292,1,,1,,,,,1,14.2,normal<=100ms,backend_roundtrip_ms,69.0,4188,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=14.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,8,2026-06-07T23:13:05+09:00,profanity,8,18,8,8,8,2,101,99,11.811,11.564,1,,1,,,,,1,12.62,noticeable<=250ms,backend_roundtrip_ms,99.0,1282,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=12.62ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,9,2026-06-07T23:13:05+09:00,profanity,16,20,8,8,8,2,56,54,6.249,6.03,1,,1,,,,,2,7.0,normal<=100ms,backend_roundtrip_ms,54.0,7175,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=7.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,10,2026-06-07T23:13:05+09:00,bypass,4,10,8,8,5,1,30,29,50.429,50.215,,,1,,,,,1,6.0,fast<=50ms,backend_internal_avg_ms,50.43,9443,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=6.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,11,2026-06-07T23:13:06+09:00,bypass,8,18,8,8,8,2,99,97,11.516,11.278,1,,1,,,,,2,12.38,normal<=100ms,backend_roundtrip_ms,97.0,1317,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=12.38ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,12,2026-06-07T23:13:06+09:00,bypass,16,20,8,8,8,2,105,104,12.452,12.095,1,,1,,,,,2,13.12,noticeable<=250ms,backend_roundtrip_ms,104.0,1206,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=13.12ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,13,2026-06-07T23:13:06+09:00,mixed,4,10,8,8,5,2,62,61,54.341,54.191,,,1,,,,,,12.4,normal<=100ms,backend_roundtrip_ms,61.0,6013,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=12.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,14,2026-06-07T23:13:07+09:00,mixed,8,18,8,8,5,2,111,110,60.402,60.202,1,,2,,,,,,22.2,noticeable<=250ms,backend_roundtrip_ms,110.0,1130,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=22.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,15,2026-06-07T23:13:07+09:00,mixed,16,19,8,8,5,2,65,64,54.727,54.575,1,,1,,,,,,13.0,normal<=100ms,backend_roundtrip_ms,64.0,5389,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=13.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,16,2026-06-07T23:13:07+09:00,search-result,4,10,8,8,5,2,95,93,30.266,30.047,1,,1,,,,,2,19.0,normal<=100ms,backend_roundtrip_ms,93.0,1430,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=19.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,17,2026-06-07T23:13:08+09:00,search-result,8,18,8,8,5,2,108,107,38.421,38.217,1,,1,,,,,1,21.6,noticeable<=250ms,backend_roundtrip_ms,107.0,1158,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=21.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,18,2026-06-07T23:13:08+09:00,search-result,16,20,8,8,5,2,60,58,32.36,32.125,1,,2,,,,,2,12.0,normal<=100ms,backend_roundtrip_ms,58.0,6414,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=12.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,19,2026-06-07T23:13:08+09:00,profanity,4,10,8,8,5,1,73,72,34.141,33.922,1,,1,,,,,1,14.6,normal<=100ms,backend_roundtrip_ms,72.0,3772,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=14.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,20,2026-06-07T23:13:09+09:00,profanity,8,18,8,8,8,2,93,91,10.648,10.339,1,,2,,,,,2,11.62,normal<=100ms,backend_roundtrip_ms,91.0,1529,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=11.62ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,21,2026-06-07T23:13:09+09:00,profanity,16,20,8,8,8,2,56,53,5.883,5.583,2,,2,,,,,2,7.0,normal<=100ms,backend_roundtrip_ms,53.0,7176,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=7.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,22,2026-06-07T23:13:09+09:00,bypass,4,10,8,8,5,1,51,50,31.445,31.265,1,,1,,,,,2,10.2,normal<=100ms,backend_roundtrip_ms,50.0,7858,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.20ms/text,real Chrome unpacked extension content-script pipeline
