run_id,source,scenario,batch_size,metric,count,avg,median,p95,min,max
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,backend_internal_avg_ms,831,15.266,9.409,35.225,0.101,146.424
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,backend_model_avg_ms,822,15.168,9.133,35.315,5.504,145.862
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,backend_roundtrip_ms,830,109.418,74.0,224.0,1.0,2158.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,candidate_collect_ms,826,1.402,1.0,2.0,1.0,5.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,first_mask_ms,526,2.169,2.0,3.0,1.0,6.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,local_preflight_ms,43,1.023,1.0,1.0,1.0,2.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,pre_backend_ms,830,1.747,2.0,3.0,1.0,5.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,16,total_to_mask_ms,832,111.2,75.5,225.0,1.0,2161.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,backend_internal_avg_ms,832,21.205,18.439,40.674,0.101,100.05
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,backend_model_avg_ms,823,21.213,18.29,40.601,6.411,99.862
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,backend_roundtrip_ms,827,110.664,56.0,276.0,1.0,456.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,candidate_collect_ms,692,1.017,1.0,1.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,first_mask_ms,512,1.246,1.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,local_preflight_ms,8,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,pre_backend_ms,826,1.039,1.0,1.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,4,total_to_mask_ms,833,111.106,57.0,274.0,1.0,456.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,backend_internal_avg_ms,832,15.856,10.601,34.715,0.101,107.41
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,backend_model_avg_ms,823,15.768,10.368,34.961,5.879,107.096
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,backend_roundtrip_ms,829,113.154,81.0,225.0,1.0,828.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,candidate_collect_ms,824,1.115,1.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,first_mask_ms,528,1.864,2.0,3.0,1.0,5.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,local_preflight_ms,50,1.02,1.0,1.0,1.0,2.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,post_backend_to_mask_ms,1,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,pre_backend_ms,829,1.592,2.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,bypass,8,total_to_mask_ms,833,114.445,83.0,226.0,1.0,830.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,backend_internal_avg_ms,833,14.808,12.573,30.318,0.068,60.191
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,backend_model_avg_ms,817,14.872,12.461,30.09,3.584,59.862
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,backend_roundtrip_ms,815,72.925,63.0,183.0,1.0,394.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,candidate_collect_ms,825,1.331,1.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,first_mask_ms,197,3.832,2.0,26.0,1.0,45.0
chrome-10k-fixture-20260607T2314,extension-lastStats,mixed,16,local_preflight_ms,16,1.0,1.0,1.0,1.0,1.0
