run_id,scene_index,scene_type,label,query,query_category,expected_result,intervention_mode,protection_enabled,input_surface,start_seconds,end_seconds,duration_seconds,attempt_count,effective_masked_span_count,render_box_count,inline_mask_count,ai_overview_candidate_count,duplicate_rendered_original_count,preconceal_count_max,google_light_preconceal_count_max,total_to_mask_ms_avg,total_to_mask_ms_max,backend_round_trip_ms_avg,backend_round_trip_ms_max,candidate_collect_ms_avg,parser_ms_avg,requested_analysis_count_max,backend_live_attempt_count,local_preflight_masked_span_count_max,hover_probe_ok,hover_tooltip,site_warning_continue_hidden,site_warning_continue_disabled,settings_action_summary,status,evidence_note
chrome-google-youtube-demo-20260608-final6,,settings,Settings,,,,,,,0.0,20.0,20.0,0,,,,,,,,,,,,,,,0,,false,,,,"Options UI action sequence: open-developer, enable-backend, check-connection, run-site-policy, apply-widget-override, clear-widget-override",operated,"Options UI action sequence: open-developer, enable-backend, check-connection, run-site-policy, apply-widget-override, clear-widget-override"
chrome-google-youtube-demo-20260608-final6,1,google-mode-showcase,Protection OFF,ㅈ댄다 진짜,masking-mode-showcase,raw-visible,off,false,Google search result mode showcase,24.0,26.0,2.0,0,0,0,0,0,0,,,,,,,,,,0,,false,,,,,off-raw,Google masking mode showcase: raw-off then intervention result
chrome-google-youtube-demo-20260608-final6,2,google-mode-showcase,Mode 가리기,ㅈ댄다 진짜,masking-mode-showcase,mode-applied,mask,true,Google search result mode showcase,26.0,30.3,4.3,2,9,9,9,2,1,0.000,0.000,21.000,21.000,1.000,1.000,12.000,0.000,1.000,2,0.000,true,청마루 보호: 모욕 99%,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-youtube-demo-20260608-final6,3,google-mode-showcase,Mode 흐리기,ㅈ댄다 진짜,masking-mode-showcase,mode-applied,blur,true,Google search result mode showcase,30.3,34.6,4.3,2,4,4,4,0,0,,0.000,47.000,47.000,,,,0.000,0.000,0,,true,"청마루 보호: 모욕 97%, 공격 74%",,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-youtube-demo-20260608-final6,4,google-mode-showcase,Mode 숨기기,ㅈ댄다 진짜,masking-mode-showcase,mode-applied,hide,true,Google search result mode showcase,34.6,38.9,4.3,2,4,4,4,0,0,,0.000,46.000,47.000,,,,0.000,0.000,0,,true,"청마루 보호: 모욕 97%, 공격 74%",,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-youtube-demo-20260608-final6,5,google-mode-showcase,Mode 삭제,ㅈ댄다 진짜,masking-mode-showcase,mode-applied,remove,true,Google search result mode showcase,38.9,42.0,3.1,2,4,4,0,0,0,,0.000,41.000,41.000,,,,0.000,0.000,0,,false,,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-youtube-demo-20260608-final6,6,google-search,Search 1,ㅈ댄다 진짜,custom,,,,Google search textarea[role=combobox] / textarea[name=q],42.0,60.3,18.3,3,4,4,4,0,0,,0.000,57.667,67.000,,,,0.000,0.000,0,,true,"청마루 보호: 모욕 97%, 공격 74%",,,,masked,Google search input/result/AI overview candidate run
chrome-google-youtube-demo-20260608-final6,7,google-search,Search 2,한남충 뜻,hate,mask-spans,,,Google search textarea[role=combobox] / textarea[name=q],60.3,78.567,18.267,1,13,10,13,2,0,,0.000,64.000,64.000,,,,0.000,0.000,0,,true,청마루 보호: 모욕 99%,,,,masked,Google search input/result/AI overview candidate run
chrome-google-youtube-demo-20260608-final6,8,google-search,Search 3,죽여버릴거야 협박,toxicity,mask-spans,,,Google search textarea[role=combobox] / textarea[name=q],78.567,96.967,18.4,2,7,7,7,2,0,0.000,0.000,114.000,180.000,52.500,104.000,40.500,0.000,1.000,2,0.000,true,청마루 보호: 모욕 99%,,,,masked,Google search input/result/AI overview candidate run
chrome-google-youtube-demo-20260608-final6,9,youtube-watch-comments,YouTube,시발 또 다시 보여줘야해?,youtube-comment-profanity,mask-spans,,,YouTube search result / watch title / comments,96.967,114.867,17.9,1,1,1,1,0,0,0.000,,345.000,345.000,293.000,293.000,43.000,8.000,3.000,1,8.000,true,청마루 보호: 유해 표현,,,,masked,YouTube search result to watch page and comments: Hook - 식케이 (Sik-K) Hook - 식케이 (Sik-K) 0:45
chrome-google-youtube-demo-20260608-final6,,site-warning,Site warning,,,,,,,116.867,124.867,8.0,0,,,,,,,,,,,,,,,0,,false,,true,true,,blocked,High-risk warning page continue policy
