run_id,label,first_frame,last_frame,start_seconds,end_seconds,duration_seconds
chrome-google-youtube-demo-20260608-final6,settings: open options,1,240,0.0,8.0,8.0
chrome-google-youtube-demo-20260608-final6,settings: open developer tools,241,300,8.0,10.0,2.0
chrome-google-youtube-demo-20260608-final6,settings: enable backend,301,360,10.0,12.0,2.0
chrome-google-youtube-demo-20260608-final6,settings: check backend connection,361,420,12.0,14.0,2.0
chrome-google-youtube-demo-20260608-final6,settings: run site policy,421,480,14.0,16.0,2.0
chrome-google-youtube-demo-20260608-final6,settings: apply wellbeing override,481,540,16.0,18.0,2.0
chrome-google-youtube-demo-20260608-final6,settings: clear wellbeing override,541,600,18.0,20.0,2.0
chrome-google-youtube-demo-20260608-final6,Google home,601,720,20.0,24.0,4.0
chrome-google-youtube-demo-20260608-final6,mode showcase: protection off raw screen,721,780,24.0,26.0,2.0
chrome-google-youtube-demo-20260608-final6,mode showcase: apply mask,781,801,26.0,26.7,0.7
chrome-google-youtube-demo-20260608-final6,mode showcase: result mask,802,873,26.7,29.1,2.4
chrome-google-youtube-demo-20260608-final6,mode showcase: hover mask,874,909,29.1,30.3,1.2
chrome-google-youtube-demo-20260608-final6,mode showcase: apply blur,910,930,30.3,31.0,0.7
chrome-google-youtube-demo-20260608-final6,mode showcase: result blur,931,1002,31.0,33.4,2.4
chrome-google-youtube-demo-20260608-final6,mode showcase: hover blur,1003,1038,33.4,34.6,1.2
chrome-google-youtube-demo-20260608-final6,mode showcase: apply hide,1039,1059,34.6,35.3,0.7
chrome-google-youtube-demo-20260608-final6,mode showcase: result hide,1060,1131,35.3,37.7,2.4
chrome-google-youtube-demo-20260608-final6,mode showcase: hover hide,1132,1167,37.7,38.9,1.2
chrome-google-youtube-demo-20260608-final6,mode showcase: apply remove,1168,1188,38.9,39.6,0.7
chrome-google-youtube-demo-20260608-final6,mode showcase: result remove,1189,1260,39.6,42.0,2.4
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ,1261,1261,42.0,42.033,0.033
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ댄,1262,1262,42.033,42.067,0.033
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ댄다,1263,1263,42.067,42.1,0.033
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ댄다 ,1264,1264,42.1,42.133,0.033
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ댄다 진,1265,1265,42.133,42.167,0.033
chrome-google-youtube-demo-20260608-final6,search 1: type ㅈ댄다 진짜,1266,1266,42.167,42.2,0.033
chrome-google-youtube-demo-20260608-final6,search 1: typed query: ㅈ댄다 진짜,1267,1341,42.2,44.7,2.5
chrome-google-youtube-demo-20260608-final6,search 1: result loaded: ㅈ댄다 진짜,1342,1401,44.7,46.7,2.0
chrome-google-youtube-demo-20260608-final6,search 1: analysis request: ㅈ댄다 진짜,1402,1437,46.7,47.9,1.2
chrome-google-youtube-demo-20260608-final6,search 1: masked results: ㅈ댄다 진짜,1438,1647,47.9,54.9,7.0
chrome-google-youtube-demo-20260608-final6,search 1: hover mask evidence: ㅈ댄다 진짜,1648,1722,54.9,57.4,2.5
chrome-google-youtube-demo-20260608-final6,search 1: scroll-down,1723,1740,57.4,58.0,0.6
chrome-google-youtube-demo-20260608-final6,search 1: after scroll: ㅈ댄다 진짜,1741,1800,58.0,60.0,2.0
chrome-google-youtube-demo-20260608-final6,search 1: scroll-up,1801,1809,60.0,60.3,0.3
chrome-google-youtube-demo-20260608-final6,search 2: type 한,1810,1810,60.3,60.333,0.033
chrome-google-youtube-demo-20260608-final6,search 2: type 한남,1811,1811,60.333,60.367,0.033
chrome-google-youtube-demo-20260608-final6,search 2: type 한남충,1812,1812,60.367,60.4,0.033
chrome-google-youtube-demo-20260608-final6,search 2: type 한남충 ,1813,1813,60.4,60.433,0.033
chrome-google-youtube-demo-20260608-final6,search 2: type 한남충 뜻,1814,1814,60.433,60.467,0.033
chrome-google-youtube-demo-20260608-final6,search 2: typed query: 한남충 뜻,1815,1889,60.467,62.967,2.5
chrome-google-youtube-demo-20260608-final6,search 2: result loaded: 한남충 뜻,1890,1949,62.967,64.967,2.0
chrome-google-youtube-demo-20260608-final6,search 2: analysis request: 한남충 뜻,1950,1985,64.967,66.167,1.2
chrome-google-youtube-demo-20260608-final6,search 2: masked results: 한남충 뜻,1986,2195,66.167,73.167,7.0
chrome-google-youtube-demo-20260608-final6,search 2: hover mask evidence: 한남충 뜻,2196,2270,73.167,75.667,2.5
chrome-google-youtube-demo-20260608-final6,search 2: scroll-down,2271,2288,75.667,76.267,0.6
chrome-google-youtube-demo-20260608-final6,search 2: after scroll: 한남충 뜻,2289,2348,76.267,78.267,2.0
chrome-google-youtube-demo-20260608-final6,search 2: scroll-up,2349,2357,78.267,78.567,0.3
chrome-google-youtube-demo-20260608-final6,search 3: type 죽,2358,2358,78.567,78.6,0.033
chrome-google-youtube-demo-20260608-final6,search 3: type 죽여,2359,2359,78.6,78.633,0.033
