run_id,device_model,package,scenario,feature_set,ppt_ready,latest_ok,latest_error,latest_total_ms,latest_candidate_extraction_ms,latest_node_collection_ms,latest_backend_mask_ms,latest_visual_ocr_ms,latest_visual_mask_ms,latest_comments_or_candidates,latest_offensive_count,latest_filtered_count,latest_overlay_candidates,latest_overlay_rendered,latest_overlay_skipped_unstable,peak_candidate_extraction_ms,peak_node_collection_ms,peak_visual_roi_planning_ms,peak_screen_candidate_extraction_ms,peak_candidate_parallel_wait_ms,peak_risk_gate_mask_ms,peak_risk_gate_receive_to_mask_ms,peak_fast_provisional_mask_ms,peak_fast_provisional_build_ms,peak_fast_provisional_overlay_ms,peak_fast_provisional_receive_to_mask_ms,peak_api_analysis_latency_ms,peak_parsed_analysis_targets,peak_offensive_count,peak_filtered_count,peak_overlay_rendered,signal_analysis_ok,signal_analysis_failed_error,signal_visual_ocr_start,signal_visual_ocr_selected,signal_render_mask_overlay,signal_scroll_stale_defer_preserve,notes,target_all_processing_budget_ms,target_all_processing_observed_peak_ms,target_all_processing_pass,target_all_processing_blockers
android-real-e2e-20260609T203821,sdk_gphone64_arm64,com.google.android.youtube,android-google-youtube-real-e2e,s12345_full,no,false,VISUAL_OCR_TIMEOUT,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,3277,3136,175,246,275,3763,14,,,,,2648,21,0,2,2,5,8,6,0,4,44,latest_snapshot_underreports_peaks;latest_error=VISUAL_OCR_TIMEOUT;manual_review_needed,250,3763,no,peak_candidate_extraction_ms=3277;peak_node_collection_ms=3136;peak_risk_gate_mask_ms=3763;peak_api_analysis_latency_ms=2648
android-real-e2e-90s-20260609T205450,sdk_gphone64_arm64,com.google.android.youtube,android-google-youtube-real-e2e,s12345_full,no,true,,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1367,1329,156,359,374,,,2868,109,9,118,2650,25,16,8,3,10,10,7,5,15,59,latest_snapshot_underreports_peaks;manual_review_needed,250,2868,no,peak_candidate_extraction_ms=1367;peak_node_collection_ms=1329;peak_fast_provisional_mask_ms=2868;peak_api_analysis_latency_ms=2650
android-real-e2e-90s-split-20260609T211854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_summary,250,,no,
android-real-e2e-90s-split-20260609T211914,sdk_gphone64_arm64,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,7,52,47,63,-1,-1,5,3,1,3,0,3,503,365,7,130,138,,,185,23,11,26,661,24,18,7,3,34,0,0,0,65,161,manual_review_needed,250,661,no,peak_candidate_extraction_ms=503;peak_node_collection_ms=365;peak_api_analysis_latency_ms=661
android-real-e2e-90s-split-ocr-20260609T213023,sdk_gphone64_arm64,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,774,16,12,1547,751,1531,6,6,4,6,3,2,3353,3058,69,245,294,,,852,35,46,81,1065,23,17,8,3,11,0,4,1,28,94,manual_review_needed,250,3353,no,peak_candidate_extraction_ms=3353;peak_node_collection_ms=3058;peak_fast_provisional_mask_ms=852;peak_api_analysis_latency_ms=1065;latest_visual_ocr_ms=751;latest_visual_mask_ms=1531
android-real-e2e-90s-split-swift-20260609T212448,sdk_gphone64_arm64,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,1,22,13,28,-1,-1,5,3,0,3,0,3,1614,1369,83,254,255,,,434,232,10,233,1035,26,18,6,3,22,0,0,0,50,106,manual_review_needed,250,1614,no,peak_candidate_extraction_ms=1614;peak_node_collection_ms=1369;peak_fast_provisional_mask_ms=434;peak_api_analysis_latency_ms=1035
android-real-e2e-sm-t870-20260609T214156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_summary,250,,no,
android-real-e2e-sm-t870-20260609T2143,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,false,VISUAL_OCR_TIMEOUT,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,999,908,37,178,178,,,582,26,3,28,448,54,36,12,21,22,0,9,2,60,160,latest_snapshot_underreports_peaks;latest_error=VISUAL_OCR_TIMEOUT;manual_review_needed,250,999,no,peak_candidate_extraction_ms=999;peak_node_collection_ms=908;peak_fast_provisional_mask_ms=582;peak_api_analysis_latency_ms=448
android-real-e2e-sm-t870-20260609T2151,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,50,284,174,400,-1,-1,33,19,13,19,9,11,713,546,62,195,195,,,308,8,9,17,455,50,35,14,20,23,0,4,0,40,130,manual_review_needed,250,713,no,peak_candidate_extraction_ms=713;peak_node_collection_ms=546;peak_fast_provisional_mask_ms=308;peak_api_analysis_latency_ms=455
android-real-e2e-sm-t870-20260609T2158,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,false,Failed to connect to /127.0.0.1:8000,13,162,56,193,-1,-1,47,0,0,0,0,0,1161,1036,39,154,155,,,385,27,3,30,544,49,24,10,17,6,64,3,0,50,162,latest_error=Failed to connect to /127.0.0.1:8000;manual_review_needed,250,1161,no,peak_candidate_extraction_ms=1161;peak_node_collection_ms=1036;peak_fast_provisional_mask_ms=385;peak_api_analysis_latency_ms=544
android-real-e2e-sm-t870-20260609T2203,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,16,160,64,196,-1,-1,32,18,15,18,9,10,2340,2248,47,162,162,,,573,6,1,7,1303,50,36,15,20,25,0,2,0,40,103,manual_review_needed,250,2340,no,peak_candidate_extraction_ms=2340;peak_node_collection_ms=2248;peak_fast_provisional_mask_ms=573;peak_api_analysis_latency_ms=1303
android-real-e2e-sm-t870-20260609T2212,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,18,214,83,243,-1,-1,33,19,15,19,9,11,716,524,47,237,237,,,430,16,3,19,550,54,37,19,20,25,0,4,0,42,136,manual_review_needed,250,716,no,peak_candidate_extraction_ms=716;peak_node_collection_ms=524;peak_fast_provisional_mask_ms=430;peak_api_analysis_latency_ms=550
android-real-e2e-sm-t870-20260609T2221,SM-T870,com.android.chrome,android-google-youtube-real-e2e,s12345_full,no,true,,96,59,22,184,-1,-1,2,0,9,0,0,0,2062,2045,39,189,190,,,676,68,5,69,761,54,35,15,20,41,0,8,0,106,280,manual_review_needed,250,2062,no,peak_candidate_extraction_ms=2062;peak_node_collection_ms=2045;peak_fast_provisional_mask_ms=676;peak_api_analysis_latency_ms=761
android-real-e2e-sm-t870-youtube-app-20260609T2228,SM-T870,com.google.android.youtube,android-google-youtube-real-e2e,s12345_full,no,false,VISUAL_OCR_TIMEOUT,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,580,383,34,189,193,,,,,,,684,48,35,15,20,15,0,3,0,93,275,latest_snapshot_underreports_peaks;latest_error=VISUAL_OCR_TIMEOUT;manual_review_needed,250,684,no,peak_candidate_extraction_ms=580;peak_node_collection_ms=383;peak_api_analysis_latency_ms=684
android-real-e2e-sm-t870-youtube-app-final-20260609T2230,SM-T870,com.google.android.youtube,android-google-youtube-real-e2e,s12345_full,no,false,VISUAL_OCR_TIMEOUT,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,472,342,40,184,184,,,379,22,4,26,483,51,37,10,13,17,0,2,0,95,225,latest_snapshot_underreports_peaks;latest_error=VISUAL_OCR_TIMEOUT;manual_review_needed,250,483,no,peak_candidate_extraction_ms=472;peak_node_collection_ms=342;peak_fast_provisional_mask_ms=379;peak_api_analysis_latency_ms=483
